,year,date,score,place
0,2019,04.09(화),SKvs한화,대전
1,2019,04.12(금),KIA4vs4SK,문학
2,2019,04.16(화),SK3vs8두산,잠실
3,2019,04.19(금),NC14vs11SK,문학
4,2019,04.23(화),SKvs삼성,대구
5,2019,04.26(금),SK2vs0KT,수원
6,2019,04.30(화),키움15vs5SK,문학
7,2019,05.03(금),SK11vs7롯데,사직
8,2019,05.07(화),한화2vs11SK,문학
9,2019,05.10(금),SK4vs1KIA,광주
10,2019,05.14(화),SK2vs8NC,창원
11,2019,05.17(금),두산3vs1SK,문학
12,2019,05.21(화),SK4vs2LG,잠실
13,2019,05.24(금),SK4vs2NC,창원
14,2019,05.28(화),KT0vs1SK,문학
15,2019,06.04(화),SK2vs1키움,고척
16,2019,06.07(금),삼성2vs4SK,문학
17,2019,06.11(화),SK13vs1KT,수원
18,2019,06.14(금),NC3vs7SK,문학
19,2019,06.18(화),SK2vs4KIA,광주
20,2019,06.21(금),두산1vs14SK,문학
21,2019,06.25(화),SK8vs3LG,잠실
22,2019,06.28(금),SK3vs9삼성,대구
23,2019,07.02(화),롯데1vs10SK,문학
24,2019,07.05(금),SK8vs6두산,잠실
25,2019,07.09(화),SK0vs1한화,대전
26,2019,07.12(금),키움6vs2SK,문학
27,2019,07.26(금),SK8vs6롯데,사직
28,2019,07.30(화),KIA2vs0SK,문학
29,2019,08.03(토),SK3vs0한화,대전
30,2019,08.06(화),KT3vs0SK,문학
31,2019,08.08(목),SK6vs1키움,고척
32,2019,08.10(토),SK2vs0LG,잠실
33,2019,08.13(화),삼성1vs4SK,문학
34,2019,08.15(목),SK7vs6KIA,광주
35,2019,08.17(토),SK0vs9NC,창원
36,2019,08.20(화),롯데0vs5SK,문학
37,2019,08.27(화),SK2vs4두산,잠실
38,2019,08.29(목),SK4vs5삼성,대구
39,2019,08.31(토),LG6vs4SK,문학
40,2019,09.07(토),SKvsKT,수원
41,2019,09.10(화),키움vsSK,문학
42,2019,09.12(목),SK2vs1롯데,사직
43,2019,09.14(토),두산6vs7SK,문학
44,2019,09.21(토),SKvs한화,대전
45,2019,09.24(화),SK3vs7KT,수원
46,2019,09.25(수),삼성0vs1SK,문학
47,2019,09.27(금),SK4vs0삼성,대구
48,2019,09.29(일),SK2vs0한화,대전
