,year,date,score,place
0,2019,04.02(화),키움8vs6NC,창원
1,2019,04.05(금),NC7vs3두산,잠실
2,2019,04.09(화),NCvsKIA,광주
3,2019,04.12(금),롯데1vs2NC,창원
4,2019,04.19(금),NC14vs11SK,문학
5,2019,04.23(화),NC4vs3KT,수원
6,2019,04.26(금),한화vsNC,창원
7,2019,04.30(화),NC1vs6롯데,사직
8,2019,05.03(금),KIA8vs4NC,창원
9,2019,05.07(화),NC3vs6삼성,대구
10,2019,05.10(금),두산11vs12NC,창원
11,2019,05.17(금),NC13vs2LG,잠실
12,2019,05.21(화),NC3vs1키움,고척
13,2019,05.24(금),SK4vs2NC,창원
14,2019,05.31(금),NC2vs3LG,잠실
15,2019,06.04(화),NC1vs3삼성,대구
16,2019,06.07(금),KIA1vs2NC,창원
17,2019,06.14(금),NC3vs7SK,문학
18,2019,06.18(화),NC7vs10두산,잠실
19,2019,06.21(금),NC0vs5KT,수원
20,2019,06.25(화),한화14vs3NC,창원
21,2019,07.02(화),NC3vs5KIA,광주
22,2019,07.05(금),삼성3vs7NC,창원
23,2019,07.09(화),NC1vs4롯데,사직
24,2019,07.12(금),KT8vs9NC,창원
25,2019,07.16(화),NC3vs2한화,대전
26,2019,07.26(금),NC4vs5키움,고척
27,2019,07.30(화),두산9vs1NC,창원
28,2019,08.03(토),NC1vs5KIA,광주
29,2019,08.06(화),삼성vsNC,창원
30,2019,08.13(화),NC10vs2한화,대전
31,2019,08.15(목),NC3vs4키움,고척
32,2019,08.17(토),SK0vs9NC,창원
33,2019,08.22(목),NC5vs2LG,잠실
34,2019,08.24(토),NC8vs3롯데,사직
35,2019,08.27(화),KT3vs4NC,창원
36,2019,09.03(화),NC1vs8SK,문학
37,2019,09.05(목),한화3vs0NC,창원
38,2019,09.07(토),NC8vs2삼성,대구
39,2019,09.10(화),NCvs두산,잠실
40,2019,09.12(목),NC7vs4KT,수원
41,2019,09.14(토),삼성1vs7NC,창원
42,2019,09.17(화),NC2vs3KIA,광주
43,2019,09.18(수),NC6vs0SK,문학
44,2019,09.19(목),LG3vs5NC,창원
45,2019,09.21(토),NCvs롯데,사직
46,2019,09.24(화),두산7vs7NC,창원
47,2019,09.27(금),NC3vs0LG,잠실
48,2019,09.28(토),NC2vs5KT,수원
49,2019,10.01(화),NC5vs6두산,잠실
