,year,date,score,place
136,2019,09.12(목),NC7vs4KT,수원
137,2019,09.14(토),삼성1vs7NC,창원
138,2019,09.17(화),NC2vs3KIA,광주
139,2019,09.18(수),NC6vs0SK,문학
140,2019,09.19(목),LG3vs5NC,창원
141,2019,09.21(토),NCvs롯데,사직
142,2019,09.24(화),두산7vs7NC,창원
143,2019,09.27(금),NC3vs0LG,잠실
144,2019,09.28(토),NC2vs5KT,수원
145,2019,10.01(화),NC5vs6두산,잠실
146,2020,05.05(화),NC4vs0삼성,대구
147,2020,05.08(금),LG5vs13NC,창원
148,2020,05.15(금),NC6vs2SK,문학
149,2020,05.19(화),NC5vs4두산,잠실
150,2020,05.22(금),한화5vs3NC,창원
151,2020,05.29(금),NC4vs5삼성,대구
152,2020,06.02(화),SK8vs2NC,창원
153,2020,06.05(금),NC13vs2한화,대전
154,2020,06.09(화),두산8vs12NC,창원
155,2020,06.16(화),NC4vs7KIA,광주
156,2020,06.19(금),한화1vs3NC,창원
157,2020,06.23(화),NC4vs3KT,수원
158,2020,06.26(금),NC9vs3두산,잠실
159,2020,06.30(화),롯데10vs8NC,창원
160,2020,07.07(화),NC5vs4SK,문학
161,2020,07.10(금),NC12vs2LG,잠실
162,2020,07.14(화),NC1vs5키움,고척
163,2020,07.17(금),KT3vs3NC,창원
164,2020,07.24(금),NC3vs2KT,수원
165,2020,07.28(화),NC9vs11롯데,사직
166,2020,07.31(금),두산7vs10NC,창원
167,2020,08.04(화),NCvs한화,대전
168,2020,08.07(금),NCvsKIA,광주
169,2020,08.11(화),NCvs롯데,사직
170,2020,08.14(금),LG10vs4NC,창원
171,2020,08.20(목),NC14vs2KIA,광주
172,2020,08.22(토),NCvsKT,수원
173,2020,08.25(화),한화3vs11NC,창원
174,2020,09.01(화),NC5vs2키움,고척
175,2020,09.03(목),NC5vs6LG,잠실
176,2020,09.05(토),NCvs삼성,대구
177,2020,09.08(화),롯데2vs14NC,창원
178,2020,09.15(화),NC3vs7두산,잠실
179,2020,09.17(목),NC3vs0SK,문학
180,2020,09.19(토),NC1vs5롯데,사직
181,2020,09.22(화),삼성2vs3NC,창원
182,2020,09.26(토),NC13vs1한화,대전
183,2020,09.29(화),SK0vs3NC,창원
184,2020,10.06(화),NC1vs2키움,고척
185,2020,10.09(금),NC0vs4LG,잠실
186,2020,10.13(화),KIA11vs9NC,창원
187,2020,10.20(화),NC13vs3KIA,광주
188,2020,10.23(금),NC6vs11한화,대전
189,2020,10.24(토),LG3vs3NC,창원
190,2020,10.28(수),NC7vs1롯데,사직
191,2020,10.30(금),NC4vs4삼성,대구
192,2020,10.31(토),NC3vs4KIA,광주
193,2021,04.03(토),LGvsNC,창원
194,2021,04.09(금),NC10vs6KIA,광주
195,2021,04.13(화),NC4vs2SSG,문학
196,2021,04.16(금),한화1vs9NC,창원
197,2021,04.23(금),NC1vs5두산,잠실
198,2021,04.27(화),NC0vs9삼성,대구
199,2021,04.30(금),키움4vs3NC,창원
200,2021,05.07(금),NCvsKT,수원
201,2021,05.11(화),NC7vs2한화,대전
202,2021,05.14(금),KIA2vs5NC,창원
203,2021,05.18(화),NC0vs1LG,잠실
204,2021,05.21(금),NC0vs2키움,고척
205,2021,05.25(화),삼성vsNC,창원
206,2021,05.28(금),NCvs롯데,사직
207,2021,06.01(화),두산4vs3NC,창원
208,2021,06.08(화),NC1vs2LG,잠실
209,2021,06.11(금),NC5vs4삼성,대구
210,2021,06.15(화),KTvsNC,창원
211,2021,06.22(화),NC5vs2롯데,사직
212,2021,06.25(금),SSG10vs11NC,창원
213,2021,06.29(화),NC7vs3KIA,광주
214,2021,07.02(금),삼성5vs2NC,창원
215,2021,07.06(화),NC7vs3두산,잠실
216,2021,07.09(금),NCvs키움,고척
217,2021,07.13(화),NCvsKT,수원
218,2021,07.16(금),KIAvsNC,창원
219,2021,08.13(금),NC5vs1한화,대전
220,2021,08.17(화),NCvsSSG,문학
221,2021,08.20(금),LG3vs8NC,창원
222,2021,08.28(토),NC1vs9한화,대전
223,2021,08.31(화),NCvsSSG,문학
224,2021,09.02(목),NC0vs5LG,잠실
225,2021,09.04(토),롯데8vs2NC,창원
226,2021,09.11(토),NC3vs5KIA,광주
227,2021,09.14(화),키움8vs10NC,창원
228,2021,09.21(화),NC2vs12두산,잠실
229,2021,09.23(목),NC1vs4키움,고척
230,2021,09.25(토),NC0vs1삼성,대구
231,2021,09.28(화),KIA9vs10NC,창원
232,2021,10.02(토),NC4vs4롯데,사직
233,2021,10.05(화),NC4vs4KT,수원
234,2021,10.07(목),삼성5vs4NC,창원
235,2021,10.12(화),NC2vs13키움,고척
236,2021,10.15(금),NC5vs0두산,잠실
237,2021,10.16(토),LG1vs2NC,창원
238,2021,10.20(수),NC7vs7SSG,문학
239,2021,10.22(금),KIA5vs3NC,창원
240,2021,10.27(수),NC9vs6KT,수원
241,2021,10.29(금),삼성1vs3NC,창원
