team,2021,rank,winRate
NC,8369.2,7,0.496
OB,7796.9,2,0.522
KT,7699.5,1,0.563
LG,7840.8,4,0.554
WO,7448.4,5,0.511
HT,8119.6,9,0.433
LT,7691.4,8,0.478
SS,7858.2,3,0.563
SK,8005.4,6,0.508
HH,6726.9,10,0.371
