team,2020,rank,winRate
NC,7318.1,1,0.601
OB,7752.3,2,0.564
KT,7484.0,3,0.566
LG,7590.5,4,0.564
WO,5723.4,5,0.559
HT,8465.9,6,0.507
LT,7602.5,7,0.497
SS,7391.8,8,0.46
SK,7130.2,9,0.357
HH,6782.0,10,0.326
