team,2017,rank,winRate
NC,8116.0,4,0.56
OB,8288.1,2,0.596
KT,6848.7,10,0.347
LG,8010.7,6,0.489
WO,7065.5,7,0.486
HT,8770.7,1,0.608
LT,9468.5,3,0.563
SS,7848.9,9,0.396
SK,7410.4,5,0.524
HH,7057.8,8,0.43
