team,2018,rank,winRate
NC,8556.2,10,0.406
OB,7675.9,2,0.646
KT,7265.6,9,0.418
LG,6085.4,8,0.476
WO,6549.7,4,0.521
HT,9254.7,5,0.486
LT,8211.4,7,0.479
SS,8254.2,6,0.486
SK,7499.2,1,0.545
HH,7266.8,3,0.535
