,year,date,score,place
0,2018,04.01(일),KIA5vs6LG,잠실
1,2018,04.03(화),KIA3vs13SK,문학
2,2018,04.06(금),넥센5vs11KIA,광주
3,2018,04.10(화),KIA3vs4한화,대전
4,2018,04.13(금),롯데8vs4KIA,광주
5,2018,04.20(금),KIA4vs6두산,잠실
6,2018,04.24(화),한화vsKIA,광주
7,2018,04.27(금),KIA8vs3KT,수원
8,2018,05.01(화),KIA0vs4롯데,사직
9,2018,05.04(금),NC6vs5KIA,광주
10,2018,05.11(금),KIA3vs8삼성,대구
11,2018,05.15(화),KIA2vs1넥센,고척
12,2018,05.18(금),SK1vs5KIA,광주
13,2018,05.25(금),KIA14vs2NC,창원
14,2018,05.29(화),넥센12vs8KIA,광주
15,2018,06.05(화),KIA11vs2KT,수원
16,2018,06.08(금),KIA6vs9롯데,사직
17,2018,06.12(화),SK0vs4KIA,광주
18,2018,06.15(금),KIA3vs4LG,잠실
19,2018,06.19(화),NCvsKIA,광주
20,2018,06.22(금),KIA8vs5넥센,고척
21,2018,06.26(화),KIAvsSK,문학
22,2018,06.29(금),KIA7vs4두산,잠실
23,2018,07.03(화),한화2vs9KIA,광주
24,2018,07.10(화),KIA6vs8NC,창원
25,2018,07.17(화),삼성3vs6KIA,광주
26,2018,07.24(화),KIA0vs5한화,대전
27,2018,07.27(금),KIA10vs11삼성,대구
28,2018,07.31(화),롯데1vs4KIA,광주
29,2018,08.07(화),KIA1vs9넥센,고척
30,2018,08.09(목),롯데11vs4KIA,광주
31,2018,08.11(토),KIA18vs4SK,문학
32,2018,08.14(화),LG8vs14KIA,광주
33,2018,08.16(목),KIA6vs8롯데,사직
34,2018,09.04(화),KIA10vs5두산,잠실
35,2018,09.06(목),넥센2vs7KIA,광주
36,2018,09.11(화),KIA7vs10NC,창원
37,2018,09.13(목),KIAvs롯데,사직
38,2018,09.15(토),SK2vs4KIA,광주
39,2018,09.18(화),KIA18vs3삼성,대구
40,2018,09.20(목),NC6vs7KIA,광주
41,2018,09.22(토),KIA11vs5한화,대전
42,2018,09.25(화),KIA9vs7KT,수원
43,2018,09.27(목),KIA1vs9LG,잠실
44,2018,09.29(토),한화3vs4KIA,광주
45,2018,10.03(수),KIA5vs20삼성,대구
46,2018,10.04(목),KIA7vs3SK,문학
47,2018,10.07(일),KIA4vs7두산,잠실
48,2018,10.09(화),KIA10vs11롯데,사직
49,2018,10.10(수),한화1vs6KIA,광주
