,year,date,score,place
0,2021,04.03(토),LGvsNC,창원
1,2021,04.06(화),LG3vs2KT,수원
2,2021,04.09(금),SSG5vs9LG,잠실
3,2021,04.13(화),LG2vs8키움,고척
4,2021,04.16(금),두산0vs1LG,잠실
5,2021,04.23(금),LG2vs1한화,대전
6,2021,04.27(화),롯데0vs4LG,잠실
7,2021,04.30(금),LG0vs4삼성,대구
8,2021,05.04(화),LGvs두산,잠실
9,2021,05.11(화),LG1vs7KIA,광주
10,2021,05.14(금),삼성3vs4LG,잠실
11,2021,05.21(금),LG5vs6SSG,문학
12,2021,05.25(화),LGvs롯데,사직
13,2021,05.28(금),키움1vs3LG,잠실
14,2021,06.04(금),LG3vs4KIA,광주
15,2021,06.08(화),NC1vs2LG,잠실
16,2021,06.15(화),LG4vs2키움,고척
17,2021,06.18(금),KIA0vs5LG,잠실
18,2021,06.22(화),LG14vs1SSG,문학
19,2021,06.25(금),LGvs삼성,대구
20,2021,06.29(화),KTvsLG,잠실
21,2021,07.06(화),LGvs롯데,사직
22,2021,07.09(금),LGvs두산,잠실
23,2021,07.16(금),LGvs한화,대전
24,2021,08.10(화),SSG0vs4LG,잠실
25,2021,08.17(화),LG5vs5KT,수원
26,2021,08.20(금),LG3vs8NC,창원
27,2021,08.25(수),삼성3vs3LG,잠실
28,2021,08.31(화),LG9vs4롯데,사직
29,2021,09.02(목),NC0vs5LG,잠실
30,2021,09.07(화),LGvsSSG,문학
31,2021,09.09(목),한화1vs8LG,잠실
32,2021,09.14(화),LG3vs3삼성,대구
33,2021,09.16(목),LG0vs2NC,창원
34,2021,09.18(토),KIA9vs6LG,잠실
35,2021,09.21(화),LG6vs15한화,대전
36,2021,09.23(목),삼성7vs4LG,잠실
37,2021,09.25(토),LG0vs0KT,수원
38,2021,09.28(화),롯데2vs5LG,잠실
39,2021,10.02(토),LG10vs3키움,고척
40,2021,10.05(화),SSG8vs0LG,잠실
41,2021,10.07(목),LG8vs1KIA,광주
42,2021,10.09(토),KT1vs6LG,잠실
43,2021,10.12(화),LG4vs4SSG,문학
44,2021,10.13(수),LG4vs4롯데,사직
45,2021,10.16(토),LG1vs2NC,창원
46,2021,10.19(화),키움5vs4LG,잠실
47,2021,10.26(화),LG4vs0한화,대전
48,2021,10.29(금),LG4vs1롯데,사직
